id,topic,likes,comments
695707917166339_1007794102624384,0,0,1
695707917166339_1008089395928188,0,3,0
695707917166339_1008170385920089,3,4,1
695707917166339_1008297712574023,1,2,6
695707917166339_1008167402587054,3,10,0
695707917166339_1008297722574022,3,0,3
695707917166339_1007941075943020,1,3,2
695707917166339_1007941069276354,3,10,1
695707917166339_1008170369253424,3,0,2
695707917166339_1008297732574021,3,3,4
695707917166339_1008069852596809,3,4,5
695707917166339_1008045505932577,3,0,0
695707917166339_1007794092624385,3,1,3
695707917166339_1008045482599246,3,6,3
695707917166339_1007826652621129,0,0,2
695707917166339_1008167379253723,0,1,2
695707917166339_1008167362587058,3,1,2
695707917166339_1008045592599235,3,0,3
695707917166339_1007941012609693,3,0,1
695707917166339_1007362396000888,3,11,0
695707917166339_1007590825978045,2,2,1
695707917166339_1007064166030711,1,1,3
695707917166339_1007243159346145,2,2,1
695707917166339_1007063852697409,3,5,6
695707917166339_1007362462667548,3,0,3
695707917166339_1007243122679482,2,3,1
695707917166339_1007740702629724,1,0,3
695707917166339_1007740682629726,3,0,1
695707917166339_1007590892644705,3,2,0
695707917166339_1007362442667550,1,0,2
695707917166339_1007033396033788,1,6,3
695707917166339_1007033376033790,3,1,1
695707917166339_1007591102644684,0,1,8
695707917166339_1007740669296394,3,0,0
695707917166339_1007063772697417,3,2,2
695707917166339_1007243142679480,3,0,1
695707917166339_1007064216030706,1,10,6
695707917166339_1007033416033786,3,1,5
695707917166339_1007794082624386,3,25,2
695707917166339_1007740689296392,3,1,5
695707917166339_1007590929311368,1,0,0
695707917166339_1007362422667552,3,0,3
695707917166339_1007591005978027,2,1,2
695707917166339_1005844279486033,0,0,1
695707917166339_1006733739397087,0,4,3
695707917166339_1007031792700615,3,0,3
695707917166339_1006046346132493,3,0,5
695707917166339_1006046282799166,1,2,3
695707917166339_1006198126117315,1,4,2
695707917166339_1006046322799162,3,1,1
695707917166339_1005902392813555,3,0,2
695707917166339_1006383216098806,3,0,2
695707917166339_1006383192765475,3,5,4
695707917166339_1006482076088920,3,0,1
695707917166339_1006733789397082,3,18,6
695707917166339_1006875976049530,3,7,2
695707917166339_1006733669397094,3,3,6
695707917166339_1006383252765469,3,0,4
695707917166339_1006733576063770,0,4,9
695707917166339_1006733622730432,3,2,0
695707917166339_1006199059450555,1,6,9
695707917166339_1006482092755585,0,4,2
695707917166339_1007031809367280,3,0,2
695707917166339_1005902232813571,1,25,7
695707917166339_1006383232765471,1,5,0
695707917166339_1006875946049533,0,3,2
695707917166339_1006199246117203,0,5,5
695707917166339_1006046296132498,3,0,0
695707917166339_1005001716236956,1,1,1
695707917166339_1005113449559116,0,25,1
695707917166339_1005176056219522,3,0,2
695707917166339_1005221309548330,3,1,3
695707917166339_1005113416225786,0,0,1
695707917166339_1005001742903620,3,1,1
695707917166339_1005398382863956,0,3,0
695707917166339_1005176016219526,3,0,3
695707917166339_1005113432892451,3,0,2
695707917166339_1005398419530619,3,0,3
695707917166339_1005398442863950,1,3,2
695707917166339_1005737426163385,3,0,6
